time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780056000,4538.35,4538.54,4526.91,4528.26,4577.43,4435.929999999999,4513.093063504765,,
1780056900,4528.26,4531.97,4519.93,4522.42,4577.43,4435.929999999999,4513.380250657812,,
1780057800,4522.42,4523.39,4512.46,4514.15,4577.43,4435.929999999999,4513.4805192321055,,
1780058700,4514.15,4524.15,4512.59,4523.16,4577.43,4435.929999999999,4513.631436932693,,
1780059600,4523.16,4526.87,4516.9,4522.65,4577.43,4435.929999999999,4513.905972582226,,
1780060500,4522.65,4529.13,4521.19,4528.08,4577.43,4435.929999999999,4514.19017382478,,
1780061400,4528.08,4535.5,4522.3,4533.03,4577.43,4435.929999999999,4514.902481275612,,
1780062300,4533.03,4540.72,4529.56,4536.64,4577.43,4435.929999999999,4515.655963141124,,
1780063200,4536.64,4552.64,4535.05,4543.77,4577.43,4435.929999999999,4516.841080332068,,
1780064100,4543.77,4545.19,4526.02,4529.71,4577.43,4435.929999999999,4517.619511254172,,
1780065000,4529.71,4541.84,4525.25,4540.23,4577.43,4435.929999999999,4518.374144596807,,
1780065900,4540.23,4570.64,4536.51,4564.05,4577.43,4435.929999999999,4520.65719563195,,
1780066800,4564.05,4595.32,4563.86,4589.81,4577.43,4435.929999999999,4524.14235086535,,
1780067700,4589.81,4591.57,4577.94,4578.59,4577.43,4435.929999999999,4526.156763546125,,
1780068600,4578.59,4583.36,4561.24,4566.64,4577.43,4435.929999999999,4527.613215580251,,
1780069500,4566.64,4571.52,4557.5,4571.15,4577.43,4435.929999999999,4528.51792936272,,
1780070400,4571.15,4572.25,4559.79,4563.65,4577.43,4435.929999999999,4529.080418145607,,
1780071300,4563.65,4567.73,4560.3,4563.04,4577.43,4435.929999999999,4529.587288541538,,
1780072200,4563.04,4573.52,4561.91,4569.38,4577.43,4435.929999999999,4530.29084663899,,
1780073100,4569.38,4569.39,4560.99,4566.78,4577.43,4435.929999999999,4530.749643266475,,
